"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2025","145.48","144.01","145.65","143.12","161.49M","0.94%"
"06/17/2025","144.12","144.49","145.22","143.78","139.11M","-0.39%"
"06/16/2025","144.69","143.35","146.18","143.20","183.13M","1.92%"
"06/13/2025","141.97","142.48","143.58","140.85","180.82M","-2.09%"
"06/12/2025","145.00","141.97","145.00","141.85","162.36M","1.52%"
"06/11/2025","142.83","144.61","144.99","141.87","167.69M","-0.78%"
"06/10/2025","143.96","142.69","144.29","141.52","155.88M","0.93%"
"06/09/2025","142.63","143.19","145.00","141.94","185.11M","0.64%"
"06/06/2025","141.72","142.51","143.27","141.51","153.99M","1.24%"
"06/05/2025","139.99","142.17","144.00","138.83","232.41M","-1.36%"
"06/04/2025","141.92","142.19","142.39","139.54","167.12M","0.50%"
"06/03/2025","141.22","138.78","142.00","137.95","225.58M","2.80%"
"06/02/2025","137.38","135.49","138.12","135.40","197.66M","1.67%"
"05/30/2025","135.13","138.71","139.62","132.92","333.17M","-2.92%"
"05/29/2025","139.19","142.24","143.49","137.91","370.62M","3.25%"
"05/28/2025","134.81","136.02","137.25","134.79","304.02M","-0.51%"
"05/27/2025","135.50","134.15","135.66","133.31","192.95M","3.21%"
"05/23/2025","131.29","130.00","132.68","129.16","198.82M","-1.16%"
"05/22/2025","132.83","132.23","134.25","131.55","187.34M","0.78%"
"05/21/2025","131.80","133.06","137.40","130.59","270.61M","-1.92%"
"05/20/2025","134.38","134.29","134.58","132.62","161.51M","-0.88%"
"05/19/2025","135.57","132.39","135.87","132.39","193.15M","0.13%"
"05/16/2025","135.40","136.22","136.35","133.46","226.54M","0.42%"
"05/15/2025","134.83","134.29","136.30","132.66","226.63M","-0.38%"
"05/14/2025","135.34","133.20","135.43","131.68","281.18M","4.16%"
"05/13/2025","129.93","124.98","131.22","124.47","330.43M","5.63%"
"05/12/2025","123.00","121.97","123.00","120.28","225.02M","5.44%"
"05/09/2025","116.65","117.35","118.23","115.21","132.97M","-0.61%"
"05/08/2025","117.37","118.25","118.68","115.85","198.43M","0.26%"
"05/07/2025","117.06","113.04","117.68","112.28","207.83M","3.10%"
"05/06/2025","113.54","111.48","114.74","110.82","158.53M","-0.25%"
"05/05/2025","113.82","112.90","114.67","112.66","133.16M","-0.59%"
"05/02/2025","114.50","114.18","115.40","113.37","190.19M","2.59%"
"05/01/2025","111.61","113.08","114.94","111.30","236.12M","2.47%"
"04/30/2025","108.92","104.47","108.92","104.08","235.04M","-0.09%"
"04/29/2025","109.02","107.67","110.20","107.44","170.44M","0.27%"
"04/28/2025","108.73","109.69","110.37","106.02","207.71M","-2.05%"
"04/25/2025","111.01","106.85","111.92","105.73","251.06M","4.30%"
"04/24/2025","106.43","103.47","106.54","103.11","220.82M","3.62%"
"04/23/2025","102.71","104.52","104.80","102.02","247.53M","3.86%"
"04/22/2025","98.89","98.78","99.81","97.28","241.00M","2.04%"
"04/21/2025","96.91","98.77","99.44","95.04","288.50M","-4.51%"
"04/17/2025","101.49","104.45","104.47","100.05","292.52M","-2.87%"
"04/16/2025","104.49","104.55","106.79","100.45","397.02M","-6.87%"
"04/15/2025","112.20","110.97","113.61","110.50","228.97M","1.35%"
"04/14/2025","110.71","114.11","114.29","109.07","264.71M","-0.20%"
"04/11/2025","110.93","108.50","111.55","107.48","313.42M","3.12%"
"04/10/2025","107.57","109.37","110.86","99.15","437.81M","-5.91%"
"04/09/2025","114.33","98.89","115.10","97.53","612.92M","18.72%"
"04/08/2025","96.30","103.81","105.85","94.46","476.24M","-1.37%"
"04/07/2025","97.64","87.46","101.75","86.62","611.04M","3.53%"
"04/04/2025","94.31","98.91","100.13","92.11","532.27M","-7.36%"
"04/03/2025","101.80","103.51","105.63","101.60","338.77M","-7.81%"
"04/02/2025","110.42","107.29","111.98","106.79","220.60M","0.25%"
"04/01/2025","110.15","108.51","110.20","106.47","222.61M","1.63%"
"03/31/2025","108.38","105.13","110.96","103.65","299.21M","-1.18%"
"03/28/2025","109.67","111.49","112.87","109.07","229.87M","-1.58%"
"03/27/2025","111.43","111.35","114.45","110.66","236.90M","-2.05%"
"03/26/2025","113.76","118.73","118.84","112.71","296.43M","-5.74%"
"03/25/2025","120.69","120.54","121.29","118.92","167.45M","-0.59%"
"03/24/2025","121.41","119.88","122.22","119.34","228.45M","3.15%"
"03/21/2025","117.70","116.94","117.99","115.42","266.50M","-0.70%"
"03/20/2025","118.53","116.55","120.20","116.47","248.83M","0.86%"
"03/19/2025","117.52","117.27","120.44","115.68","273.43M","1.81%"
"03/18/2025","115.43","118.00","119.02","114.54","299.69M","-3.43%"
"03/17/2025","119.53","122.74","122.89","118.03","255.50M","-1.76%"
"03/14/2025","121.67","118.61","121.88","118.15","277.59M","5.27%"
"03/13/2025","115.58","117.03","117.76","113.79","299.03M","-0.14%"
"03/12/2025","115.74","114.12","116.76","112.88","323.86M","6.42%"
"03/11/2025","108.76","106.99","112.24","104.77","354.87M","1.66%"
"03/10/2025","106.98","109.90","111.85","105.46","366.49M","-5.07%"
"03/07/2025","112.69","111.25","113.48","107.56","341.76M","1.92%"
"03/06/2025","110.57","113.53","115.35","110.22","321.18M","-5.74%"
"03/05/2025","117.30","117.58","118.28","114.51","284.34M","1.13%"
"03/04/2025","115.99","110.64","119.31","110.11","398.16M","1.69%"
"03/03/2025","114.06","123.51","123.70","112.28","411.38M","-8.69%"
"02/28/2025","124.92","118.02","125.09","116.40","389.09M","3.97%"
"02/27/2025","120.15","135.00","135.01","120.01","443.18M","-8.48%"
"02/26/2025","131.28","129.99","133.73","128.49","322.55M","3.67%"
"02/25/2025","126.63","129.98","130.20","124.44","271.43M","-2.80%"
"02/24/2025","130.28","136.56","138.59","130.08","251.38M","-3.09%"
"02/21/2025","134.43","140.04","141.46","134.03","228.22M","-4.05%"
"02/20/2025","140.11","140.03","140.66","136.79","143.90M","0.63%"
"02/19/2025","139.23","139.51","141.36","137.22","167.54M","-0.12%"
"02/18/2025","139.40","141.27","143.44","137.93","219.18M","0.40%"
"02/14/2025","138.85","136.48","139.25","135.50","195.48M","2.63%"
"02/13/2025","135.29","131.55","136.50","131.17","197.43M","3.16%"
"02/12/2025","131.14","130.02","132.24","129.08","160.28M","-1.25%"
"02/11/2025","132.80","132.58","134.48","131.02","178.90M","-0.58%"
"02/10/2025","133.57","130.09","135.00","129.96","216.99M","2.87%"
"02/07/2025","129.84","129.22","130.37","125.00","228.19M","0.90%"
"02/06/2025","128.68","127.42","128.77","125.21","251.48M","3.08%"
"02/05/2025","124.83","121.76","125.00","120.76","263.11M","5.21%"
"02/04/2025","118.65","116.96","121.20","116.70","256.55M","1.71%"
"02/03/2025","116.66","114.75","118.57","113.01","371.24M","-2.84%"
"01/31/2025","120.07","123.78","127.85","119.19","390.37M","-3.67%"
"01/30/2025","124.65","123.10","125.00","118.10","392.93M","0.77%"
"01/29/2025","123.70","126.50","126.89","120.05","467.12M","-4.10%"
"01/28/2025","128.99","121.81","129.00","116.25","579.67M","8.93%"
"01/27/2025","118.42","124.80","128.40","116.70","818.83M","-16.97%"
"01/24/2025","142.62","148.37","148.97","141.88","234.66M","-3.12%"
"01/23/2025","147.22","145.05","147.23","143.72","155.92M","0.10%"
"01/22/2025","147.07","144.66","147.79","143.67","237.65M","4.43%"
"01/21/2025","140.83","139.16","141.83","137.09","197.75M","2.27%"
"01/17/2025","137.71","136.69","138.50","135.46","201.19M","3.10%"
"01/16/2025","133.57","138.64","138.75","133.49","209.24M","-1.96%"
"01/15/2025","136.24","133.65","136.45","131.29","185.22M","3.40%"
"01/14/2025","131.76","136.05","136.38","130.05","195.59M","-1.10%"
"01/13/2025","133.23","129.99","133.49","129.51","204.81M","-1.97%"
"01/10/2025","135.91","137.45","139.92","134.22","207.60M","-3.00%"
"01/08/2025","140.11","142.58","143.95","137.56","227.35M","-0.02%"
"01/07/2025","140.14","153.03","153.13","140.01","351.78M","-6.22%"
"01/06/2025","149.43","148.59","152.16","147.82","265.38M","3.43%"
"01/03/2025","144.47","140.01","144.90","139.73","229.32M","4.45%"
"01/02/2025","138.31","136.00","138.88","134.63","198.25M","2.99%"
"12/31/2024","134.29","138.03","138.07","133.83","155.66M","-2.33%"
"12/30/2024","137.49","134.83","140.27","134.02","167.74M","0.35%"
"12/27/2024","137.01","138.55","139.02","134.71","170.58M","-2.09%"
"12/26/2024","139.93","139.70","140.85","137.73","116.52M","-0.21%"
"12/24/2024","140.22","140.00","141.90","138.65","105.16M","0.39%"
"12/23/2024","139.67","136.28","139.79","135.12","176.05M","3.69%"
"12/20/2024","134.70","129.81","135.28","128.22","306.53M","3.08%"
"12/19/2024","130.68","131.76","134.03","129.55","209.72M","1.37%"
"12/18/2024","128.91","133.86","136.70","128.28","277.44M","-1.14%"
"12/17/2024","130.39","129.09","131.59","126.86","259.41M","-1.22%"
"12/16/2024","132.00","134.18","134.40","130.42","237.95M","-1.68%"
"12/13/2024","134.25","138.94","139.60","132.54","231.52M","-2.25%"
"12/12/2024","137.34","137.08","138.44","135.80","159.21M","-1.41%"
"12/11/2024","139.31","137.36","140.17","135.21","184.90M","3.14%"
"12/10/2024","135.07","139.01","141.82","133.79","210.02M","-2.69%"
"12/09/2024","138.81","138.97","139.95","137.13","189.31M","-2.55%"
"12/06/2024","142.44","144.60","145.70","141.31","188.51M","-1.81%"
"12/05/2024","145.06","145.11","146.54","143.95","172.62M","-0.06%"
"12/04/2024","145.14","141.99","145.79","140.29","231.22M","3.48%"
"12/03/2024","140.26","138.26","140.54","137.95","164.41M","1.18%"
"12/02/2024","138.63","138.83","140.45","137.82","171.68M","0.27%"
"11/29/2024","138.25","136.78","139.35","136.05","141.86M","2.15%"
"11/27/2024","135.34","135.01","137.22","131.80","226.37M","-1.15%"
"11/26/2024","136.92","137.70","139.30","135.67","190.29M","0.66%"
"11/25/2024","136.02","141.99","142.05","135.82","344.94M","-4.18%"
"11/22/2024","141.95","145.93","147.16","141.10","236.41M","-3.22%"
"11/21/2024","146.67","149.35","152.89","140.70","400.95M","0.53%"
"11/20/2024","145.89","147.41","147.56","142.73","309.87M","-0.76%"
"11/19/2024","147.01","141.32","147.13","140.99","227.84M","4.89%"
"11/18/2024","140.15","139.50","141.55","137.15","221.87M","-1.29%"
"11/15/2024","141.98","144.87","145.24","140.08","250.13M","-3.26%"
"11/14/2024","146.76","147.64","149.00","145.55","194.46M","0.33%"
"11/13/2024","146.27","149.07","149.33","145.90","191.90M","-1.36%"
"11/12/2024","148.29","146.78","149.65","146.01","198.64M","2.09%"
"11/11/2024","145.26","148.68","148.85","143.57","182.33M","-1.61%"
"11/08/2024","147.63","148.77","149.77","146.26","175.67M","-0.84%"
"11/07/2024","148.88","146.39","148.93","146.17","207.32M","2.25%"
"11/06/2024","145.61","142.96","146.49","141.96","242.04M","4.07%"
"11/05/2024","139.91","137.45","140.37","137.33","160.54M","2.84%"
"11/04/2024","136.05","137.21","138.96","135.57","187.53M","0.48%"
"11/01/2024","135.40","134.70","137.31","134.57","207.13M","1.99%"
"10/31/2024","132.76","137.60","137.61","132.11","270.04M","-4.72%"
"10/30/2024","139.34","139.54","140.33","136.81","179.42M","-1.36%"
"10/29/2024","141.25","140.29","142.26","138.90","157.59M","0.52%"
"10/28/2024","140.52","143.00","143.14","140.05","173.59M","-0.72%"
"10/25/2024","141.54","140.93","144.13","140.80","205.12M","0.80%"
"10/24/2024","140.41","140.82","141.35","138.46","172.36M","0.61%"
"10/23/2024","139.56","142.03","142.43","137.46","285.93M","-2.81%"
"10/22/2024","143.59","142.91","144.42","141.78","226.31M","-0.08%"
"10/21/2024","143.71","138.13","143.71","138.00","264.56M","4.14%"
"10/18/2024","138.00","138.66","138.90","137.28","176.09M","0.78%"
"10/17/2024","136.93","139.34","140.89","136.87","306.44M","0.89%"
"10/16/2024","135.72","133.98","136.62","131.58","264.88M","3.13%"
"10/15/2024","131.60","137.87","138.57","128.74","377.83M","-4.69%"
"10/14/2024","138.07","136.47","139.60","136.30","232.35M","2.43%"
"10/11/2024","134.80","134.01","135.78","133.66","170.21M","-0.01%"
"10/10/2024","134.81","131.91","135.00","131.00","242.31M","1.63%"
"10/09/2024","132.65","134.11","134.52","131.38","246.19M","-0.18%"
"10/08/2024","132.89","130.26","133.48","129.42","285.72M","4.05%"
"10/07/2024","127.72","124.99","130.64","124.95","346.25M","2.24%"
"10/04/2024","124.92","124.94","125.04","121.83","244.47M","1.68%"
"10/03/2024","122.85","120.92","124.36","120.34","277.12M","3.37%"
"10/02/2024","118.85","116.44","119.38","115.14","221.85M","1.58%"
"10/01/2024","117.00","121.76","122.44","115.79","302.09M","-3.66%"
"09/30/2024","121.44","118.31","121.50","118.15","227.05M","0.03%"
"09/27/2024","121.40","123.97","124.03","119.26","271.01M","-2.13%"
"09/26/2024","124.04","126.80","127.67","121.80","302.58M","0.43%"
"09/25/2024","123.51","122.02","124.94","121.61","284.69M","2.18%"
"09/24/2024","120.87","116.51","121.80","115.38","354.97M","3.97%"
"09/23/2024","116.26","116.55","116.99","114.86","206.23M","0.22%"
"09/20/2024","116.00","117.06","118.62","115.39","382.46M","-1.59%"
"09/19/2024","117.87","117.35","119.66","117.25","293.51M","3.97%"
"09/18/2024","113.37","115.89","117.70","113.22","310.32M","-1.92%"
"09/17/2024","115.59","118.17","118.80","114.83","231.93M","-1.02%"
"09/16/2024","116.78","116.79","118.18","114.36","248.77M","-1.95%"
"09/13/2024","119.10","119.08","119.96","117.60","238.36M","-0.03%"
"09/12/2024","119.14","116.84","120.79","115.38","367.10M","1.91%"
"09/11/2024","116.91","109.39","117.19","107.42","441.42M","8.15%"
"09/10/2024","108.10","107.81","109.40","104.95","268.28M","1.53%"
"09/09/2024","106.47","104.88","106.55","103.69","273.91M","3.54%"
"09/06/2024","102.83","108.04","108.15","100.95","413.64M","-4.09%"
"09/05/2024","107.21","104.99","109.65","104.76","306.85M","0.94%"
"09/04/2024","106.21","105.41","113.27","104.12","372.47M","-1.66%"
"09/03/2024","108.00","116.01","116.21","107.29","477.16M","-9.53%"
"08/30/2024","119.37","119.53","121.75","117.22","333.75M","1.51%"
"08/29/2024","117.59","121.36","124.43","116.71","453.02M","-6.38%"
"08/28/2024","125.61","128.12","128.33","122.64","448.10M","-2.10%"
"08/27/2024","128.30","125.05","129.20","123.88","303.14M","1.46%"
"08/26/2024","126.46","129.57","131.26","124.37","331.96M","-2.25%"
"08/23/2024","129.37","125.86","129.60","125.22","323.23M","4.55%"
"08/22/2024","123.74","130.02","130.75","123.10","376.19M","-3.70%"
"08/21/2024","128.50","127.32","129.35","126.66","257.88M","0.98%"
"08/20/2024","127.25","128.40","129.88","125.89","300.09M","-2.12%"
"08/19/2024","130.00","124.28","130.00","123.42","318.33M","4.35%"
"08/16/2024","124.58","121.94","125.00","121.18","302.59M","1.40%"
"08/15/2024","122.86","118.76","123.24","117.47","318.09M","4.05%"
"08/14/2024","118.08","118.53","118.60","114.07","339.25M","1.67%"
"08/13/2024","116.14","112.44","116.23","111.58","312.65M","6.53%"
"08/12/2024","109.02","106.32","111.07","106.26","325.56M","4.08%"
"08/09/2024","104.75","105.64","106.60","103.43","290.84M","-0.21%"
"08/08/2024","104.97","102.00","105.50","97.52","391.91M","6.13%"
"08/07/2024","98.91","107.81","108.80","98.69","411.44M","-5.12%"
"08/06/2024","104.25","103.84","107.71","100.55","409.01M","3.78%"
"08/05/2024","100.45","92.06","103.41","90.69","552.84M","-6.36%"
"08/02/2024","107.27","103.76","108.72","101.37","482.03M","-1.78%"
"08/01/2024","109.21","117.53","120.16","106.81","523.46M","-6.67%"
"07/31/2024","117.02","112.90","118.34","110.88","473.17M","12.81%"
"07/30/2024","103.73","111.52","111.99","102.54","486.83M","-7.04%"
"07/29/2024","111.59","113.69","116.28","111.30","248.15M","-1.30%"
"07/26/2024","113.06","116.19","116.20","111.58","293.40M","0.69%"
"07/25/2024","112.28","113.04","116.63","106.30","460.07M","-1.72%"
"07/24/2024","114.25","119.17","119.95","113.44","327.78M","-6.80%"
"07/23/2024","122.59","122.78","124.69","122.10","173.91M","-0.77%"
"07/22/2024","123.54","120.35","124.07","119.86","258.07M","4.76%"
"07/19/2024","117.93","120.35","121.60","117.37","217.22M","-2.61%"
"07/18/2024","121.09","121.85","122.40","116.56","320.98M","2.63%"
"07/17/2024","117.99","121.35","121.85","116.72","390.09M","-6.62%"
"07/16/2024","126.36","128.44","129.04","124.58","214.77M","-1.62%"
"07/15/2024","128.44","130.56","131.39","127.18","208.33M","-0.62%"
"07/12/2024","129.24","128.26","131.92","127.22","252.68M","1.44%"
"07/11/2024","127.40","135.75","136.15","127.05","374.78M","-5.57%"
"07/10/2024","134.91","134.03","135.10","132.42","248.98M","2.69%"
"07/09/2024","131.38","130.35","133.82","128.65","287.02M","2.48%"
"07/08/2024","128.20","127.49","130.77","127.04","237.68M","1.88%"
"07/05/2024","125.83","127.38","128.85","125.68","214.18M","-1.91%"
"07/03/2024","128.28","121.66","128.28","121.36","215.75M","4.57%"
"07/02/2024","122.67","121.13","123.41","121.03","218.37M","-1.31%"
"07/01/2024","124.30","123.47","124.84","118.83","284.89M","0.62%"
"06/28/2024","123.54","124.58","127.71","122.75","315.52M","-0.36%"
"06/27/2024","123.99","124.10","126.41","122.92","252.57M","-1.91%"
"06/26/2024","126.40","126.13","128.12","122.60","362.98M","0.25%"
"06/25/2024","126.09","121.20","126.50","119.32","425.79M","6.76%"
"06/24/2024","118.11","123.24","124.46","118.04","476.06M","-6.68%"
"06/21/2024","126.57","127.12","130.63","124.30","655.48M","-3.22%"
"06/20/2024","130.78","139.80","140.76","129.52","517.77M","-3.54%"
